param_name,param_value
test_loss,0.5739851593971252
test_acc_macro,0.8024578094482422
test_acc_micro,0.7991452813148499
test_rocauc,0.9674515128135681
test_f1_macro,0.7942663431167603
test_f1_micro,0.7991452813148499
test_mcc,0.7562374472618103
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,False
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,vicregl_resnet
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,False
