param_name,param_value
test_loss,0.4288010597229004
test_acc_macro,0.8038800954818726
test_acc_micro,0.8611111044883728
test_rocauc,0.928882360458374
test_f1_macro,0.8239929676055908
test_f1_micro,0.8611111044883728
test_mcc,0.7674757242202759
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,medetec
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,"['pressure-ulcer', 'leg-ulcer-images', 'foot-ulcers']"
min_samples,0
augmentation,False
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,vicreg
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,True
