param_name,param_value
test_loss,1.2011733055114746
test_acc_macro,0.6941149234771729
test_acc_micro,0.6752136945724487
test_rocauc,0.8913230299949646
test_f1_macro,0.6748867034912109
test_f1_micro,0.6752136945724487
test_mcc,0.6059358716011047
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,resnet_imagenet
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,False
