param_name,param_value
test_loss,1.3152674436569214
test_acc_macro,0.5477954149246216
test_acc_micro,0.7083333134651184
test_rocauc,0.8499731421470642
test_f1_macro,0.5050776600837708
test_f1_micro,0.7083333134651184
test_mcc,0.5029455423355103
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,medetec
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,"['pressure-ulcer', 'leg-ulcer-images', 'foot-ulcers']"
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,resnet_imagenet
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,False
