param_name,param_value
test_loss,0.43863391876220703
test_acc_macro,0.8405207395553589
test_acc_micro,0.8472222089767456
test_rocauc,0.9523285627365112
test_f1_macro,0.8176562786102295
test_f1_micro,0.8472222089767456
test_mcc,0.7521585822105408
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,medetec
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,"['pressure-ulcer', 'leg-ulcer-images', 'foot-ulcers']"
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,vicreg
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,True
