param_name,param_value
test_loss,0.47366130352020264
test_acc_macro,0.2270655333995819
test_acc_micro,0.8376068472862244
test_rocauc,0.17986705899238586
test_f1_macro,0.23216789960861206
test_f1_micro,0.8376068472862244
test_mcc,0.4280267655849457
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,vicregl_convnext_base
num_mlp_layers,3
num_mlp_neurons,512
freeze_backbone,True
